Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,220nF,C16772
D1,0603,1,LED,C2287
R1,0603,1,51,C23197
U1,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,1,13.56MHz,C710403
