Designator,Mid X,Mid Y,Rotation,Layer
C1,131.72,-93.0875,0.0,top
D1,131.1625,-94.6875,0.0,top
L1,132.0,-87.2,270.0,top
R1,133.7,-94.1125,90.0,top
U1,131.85,-91.3375,270.0,top
